OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
04-02-2020,11-11-2019,SO45366,330,18011,7,1,1
04-02-2020,13-12-2019,SO45365,313,15078,10,1,1
04-02-2020,31-12-2019,SO45369,314,19269,9,1,1
04-02-2020,23-12-2019,SO45370,312,19270,9,1,1
04-02-2020,06-11-2019,SO45368,328,14732,1,1,1
04-02-2020,10-10-2019,SO45367,328,20561,10,1,1
05-02-2020,08-01-2020,SO45375,313,19596,9,1,1
05-02-2020,16-12-2019,SO45376,344,11761,9,1,1
05-02-2020,18-11-2019,SO45371,310,15062,10,1,1
05-02-2020,28-11-2019,SO45372,348,28449,7,1,1
05-02-2020,30-10-2019,SO45374,312,22996,6,1,1
05-02-2020,24-10-2019,SO45373,349,25994,1,1,1
06-02-2020,12-01-2020,SO45384,338,26789,6,1,1
06-02-2020,15-01-2020,SO45380,324,18010,7,1,1
06-02-2020,10-12-2019,SO45377,313,15077,10,1,1
06-02-2020,24-10-2019,SO45381,344,19988,6,1,1
06-02-2020,17-01-2020,SO45382,313,11129,1,1,1
06-02-2020,06-12-2019,SO45378,310,28178,6,1,1
06-02-2020,12-10-2019,SO45383,332,14734,1,1,1
06-02-2020,29-10-2019,SO45385,334,14735,1,1,1
06-02-2020,13-10-2019,SO45379,313,28363,6,1,1
06-02-2020,12-12-2019,SO45386,312,19607,9,1,1
07-02-2020,24-12-2019,SO45388,350,25986,1,1,1
07-02-2020,02-01-2020,SO45390,310,19560,9,1,1
07-02-2020,14-01-2020,SO45392,344,11762,9,1,1
07-02-2020,10-10-2019,SO45391,313,19588,9,1,1
07-02-2020,19-12-2019,SO45387,310,11224,1,1,1
07-02-2020,08-01-2020,SO45389,310,11090,4,1,1
08-02-2020,20-01-2020,SO45394,348,11468,10,1,1
08-02-2020,03-12-2019,SO45395,313,29352,4,1,1
08-02-2020,15-12-2019,SO45393,312,14171,8,1,1
08-02-2020,15-10-2019,SO45396,312,19594,9,1,1
09-02-2020,12-10-2019,SO45397,313,15051,10,1,1
09-02-2020,01-01-2020,SO45398,312,15059,10,1,1
10-02-2020,01-12-2019,SO45400,313,14162,8,1,1
10-02-2020,24-12-2019,SO45406,351,25987,4,1,1
10-02-2020,26-10-2019,SO45401,310,15058,10,1,1
10-02-2020,13-01-2020,SO45405,312,23209,6,1,1
10-02-2020,22-11-2019,SO45409,312,19612,9,1,1
10-02-2020,10-12-2019,SO45402,344,11413,10,1,1
10-02-2020,30-11-2019,SO45404,310,11217,1,1,1
10-02-2020,21-12-2019,SO45407,314,29285,4,1,1
10-02-2020,25-10-2019,SO45408,314,29326,4,1,1
11-02-2020,06-01-2020,SO45419,314,19555,9,1,1
11-02-2020,12-01-2020,SO45412,310,23137,6,1,1
11-02-2020,12-12-2019,SO45417,310,28620,6,1,1
11-02-2020,26-12-2019,SO45410,310,14149,8,1,1
11-02-2020,16-12-2019,SO45416,310,28161,6,1,1
11-02-2020,08-11-2019,SO45411,313,28197,6,1,1
11-02-2020,07-11-2019,SO45414,330,18038,7,1,1
11-02-2020,22-10-2019,SO45413,312,11191,4,1,1
11-02-2020,31-10-2019,SO45418,311,19264,9,1,1
11-02-2020,15-01-2020,SO45421,313,19576,9,1,1
11-02-2020,02-11-2019,SO45415,312,28092,6,1,1
11-02-2020,12-12-2019,SO45420,313,19561,9,1,1
12-02-2020,03-11-2019,SO45424,311,28165,6,1,1
12-02-2020,08-12-2019,SO45423,348,19997,6,1,1
12-02-2020,15-12-2019,SO45422,310,28198,6,1,1
13-02-2020,07-01-2020,SO45428,346,11414,10,1,1
13-02-2020,15-11-2019,SO45427,349,29481,8,1,1
13-02-2020,19-12-2019,SO45425,310,15056,10,1,1
13-02-2020,06-11-2019,SO45431,311,28013,6,1,1
13-02-2020,14-12-2019,SO45429,310,28129,6,1,1
13-02-2020,07-11-2019,SO45430,312,28176,6,1,1
14-02-2020,25-01-2020,SO45433,310,12547,7,1,1
14-02-2020,10-11-2019,SO45439,326,25823,9,1,1
14-02-2020,28-12-2019,SO45435,336,20562,10,1,1
14-02-2020,21-10-2019,SO45436,312,28130,6,1,1
14-02-2020,19-01-2020,SO45437,312,28169,6,1,1
14-02-2020,16-01-2020,SO45434,311,11252,4,1,1
14-02-2020,21-10-2019,SO45438,310,29334,1,1,1
14-02-2020,22-12-2019,SO45432,312,14167,8,1,1
15-02-2020,25-12-2019,SO45444,310,19102,9,1,1
15-02-2020,22-10-2019,SO45440,312,14198,8,1,1
15-02-2020,22-01-2020,SO45441,312,11216,1,1,1
15-02-2020,11-12-2019,SO45443,313,29350,4,1,1
15-02-2020,31-01-2020,SO45442,314,29335,1,1,1
15-02-2020,29-10-2019,SO45445,310,19105,9,1,1
16-02-2020,31-10-2019,SO45447,313,19558,9,1,1
16-02-2020,21-12-2019,SO45446,345,25990,1,1,1
16-02-2020,31-01-2020,SO45448,324,25718,9,1,1
17-02-2020,28-01-2020,SO45450,312,28624,6,1,1
17-02-2020,05-01-2020,SO45452,314,19559,9,1,1
17-02-2020,18-01-2020,SO45451,311,29279,4,1,1
17-02-2020,12-01-2020,SO45449,310,14189,8,1,1
18-02-2020,24-10-2019,SO45453,311,12549,7,1,1
18-02-2020,22-10-2019,SO45454,312,23074,6,1,1
19-02-2020,27-12-2019,SO45458,311,19599,9,1,1
19-02-2020,14-01-2020,SO45459,310,19605,9,1,1
19-02-2020,28-11-2019,SO45457,313,27752,6,1,1
19-02-2020,09-01-2020,SO45455,310,14163,8,1,1
19-02-2020,13-11-2019,SO45456,312,23113,6,1,1
20-02-2020,10-11-2019,SO45461,311,28646,6,1,1
20-02-2020,07-01-2020,SO45464,314,19586,9,1,1
20-02-2020,11-12-2019,SO45465,342,25819,9,1,1
20-02-2020,09-01-2020,SO45462,310,28647,6,1,1
20-02-2020,30-01-2020,SO45463,312,11171,4,1,1
21-02-2020,10-12-2019,SO45466,311,19611,9,1,1
22-02-2020,06-12-2019,SO45475,313,19601,9,1,1
22-02-2020,24-11-2019,SO45470,312,28177,6,1,1
22-02-2020,23-12-2019,SO45474,310,19595,9,1,1
22-02-2020,27-11-2019,SO45467,345,11422,10,1,1
22-02-2020,16-12-2019,SO45471,313,29280,1,1,1
22-02-2020,01-02-2020,SO45469,350,19989,6,1,1
22-02-2020,24-01-2020,SO45468,311,23164,6,1,1
22-02-2020,22-12-2019,SO45472,313,19095,9,1,1
22-02-2020,15-12-2019,SO45473,310,19592,9,1,1
22-02-2020,21-12-2019,SO45476,314,19614,9,1,1
23-02-2020,20-01-2020,SO45477,313,14160,8,1,1
23-02-2020,01-11-2019,SO45478,313,29354,1,1,1
23-02-2020,04-02-2020,SO45480,313,19564,9,1,1
23-02-2020,05-11-2019,SO45481,313,19563,9,1,1
23-02-2020,04-11-2019,SO45479,313,19099,9,1,1
24-02-2020,06-12-2019,SO45483,314,14181,8,1,1
24-02-2020,17-11-2019,SO45482,310,12522,7,1,1
24-02-2020,28-12-2019,SO45486,324,14737,1,1,1
24-02-2020,25-01-2020,SO45490,313,22976,6,1,1
24-02-2020,15-12-2019,SO45485,312,11257,4,1,1
24-02-2020,28-12-2019,SO45484,313,23267,6,1,1
24-02-2020,07-12-2019,SO45488,311,19577,9,1,1
24-02-2020,13-11-2019,SO45487,313,19556,9,1,1
24-02-2020,01-01-2020,SO45489,310,19602,9,1,1
25-02-2020,21-11-2019,SO45492,330,19429,8,1,1
25-02-2020,11-01-2020,SO45491,311,27672,6,1,1
25-02-2020,03-12-2019,SO45494,310,19609,9,1,1
25-02-2020,20-11-2019,SO45495,342,25821,9,1,1
25-02-2020,22-11-2019,SO45493,320,14731,4,1,1
26-02-2020,10-01-2020,SO45499,314,28626,6,1,1
26-02-2020,04-12-2019,SO45505,313,19593,9,1,1
26-02-2020,29-10-2019,SO45506,311,19615,9,1,1
26-02-2020,04-02-2020,SO45501,350,25993,1,1,1
26-02-2020,14-11-2019,SO45497,311,28354,6,1,1
26-02-2020,30-11-2019,SO45503,314,22995,6,1,1
26-02-2020,01-11-2019,SO45504,340,14730,4,1,1
26-02-2020,07-12-2019,SO45498,312,28574,6,1,1
26-02-2020,07-02-2020,SO45496,314,29340,6,1,1
26-02-2020,25-11-2019,SO45507,314,19616,9,1,1
26-02-2020,10-11-2019,SO45502,314,28173,6,1,1
27-02-2020,25-01-2020,SO45510,310,22998,6,1,1
27-02-2020,18-12-2019,SO45508,310,12510,7,1,1
27-02-2020,23-01-2020,SO45509,310,14148,8,1,1
28-02-2020,03-02-2020,SO45515,310,19557,9,1,1
28-02-2020,16-11-2019,SO45513,348,25996,4,1,1
28-02-2020,29-12-2019,SO45512,312,11175,4,1,1
28-02-2020,15-01-2020,SO45511,311,12523,7,1,1
28-02-2020,31-12-2019,SO45514,314,28051,6,1,1
01-03-2020,29-01-2020,SO45580,310,14428,8,1,1
01-03-2020,20-12-2019,SO45585,351,11905,9,1,1
01-03-2020,16-11-2019,SO45583,311,11274,1,1,1
01-03-2020,05-02-2020,SO45582,312,28656,6,1,1
01-03-2020,08-01-2020,SO45584,336,25828,9,1,1
01-03-2020,09-01-2020,SO45581,313,11263,1,1,1
02-03-2020,20-11-2019,SO45589,314,19784,9,1,1
02-03-2020,10-12-2019,SO45588,313,11275,4,1,1
02-03-2020,03-01-2020,SO45586,311,12613,7,1,1
02-03-2020,28-11-2019,SO45587,310,11531,4,1,1
02-03-2020,28-11-2019,SO45592,345,11897,9,1,1
02-03-2020,13-01-2020,SO45590,311,19763,9,1,1
02-03-2020,10-02-2020,SO45591,326,25831,9,1,1
03-03-2020,22-12-2019,SO45594,312,11282,1,1,1
03-03-2020,10-11-2019,SO45599,312,19794,9,1,1
03-03-2020,11-01-2020,SO45598,340,14744,1,1,1
03-03-2020,17-01-2020,SO45600,313,19628,9,1,1
03-03-2020,27-01-2020,SO45596,332,20564,10,1,1
03-03-2020,08-02-2020,SO45593,310,15118,10,1,1
03-03-2020,01-02-2020,SO45601,348,11893,9,1,1
03-03-2020,20-01-2020,SO45595,314,11515,4,1,1
04-03-2020,16-12-2019,SO45605,311,11626,4,1,1
04-03-2020,22-01-2020,SO45606,312,19967,9,1,1
04-03-2020,28-01-2020,SO45608,349,11896,9,1,1
04-03-2020,21-12-2019,SO45603,312,11296,1,1,1
04-03-2020,27-12-2019,SO45607,330,25830,9,1,1
04-03-2020,21-01-2020,SO45609,311,14774,8,1,1
04-03-2020,12-11-2019,SO45602,312,12607,7,1,1
04-03-2020,19-12-2019,SO45604,314,11317,1,1,1
05-03-2020,21-01-2020,SO45612,312,14795,8,1,1
05-03-2020,11-02-2020,SO45611,310,11535,1,1,1
05-03-2020,14-11-2019,SO45610,310,11303,1,1,1
06-03-2020,03-12-2019,SO45616,314,14800,8,1,1
06-03-2020,20-01-2020,SO45619,311,19787,9,1,1
06-03-2020,19-02-2020,SO45613,314,11522,1,1,1
06-03-2020,01-02-2020,SO45621,346,11768,9,1,1
06-03-2020,22-11-2019,SO45617,311,15354,10,1,1
06-03-2020,02-12-2019,SO45618,311,12618,7,1,1
06-03-2020,30-11-2019,SO45615,342,18137,7,1,1
06-03-2020,31-01-2020,SO45614,312,23385,6,1,1
06-03-2020,26-01-2020,SO45620,314,19951,9,1,1
07-03-2020,12-11-2019,SO45630,351,11899,9,1,1
07-03-2020,23-11-2019,SO45628,314,19795,9,1,1
07-03-2020,09-12-2019,SO45625,314,11307,4,1,1
07-03-2020,26-12-2019,SO45624,313,11291,4,1,1
07-03-2020,23-01-2020,SO45623,311,14769,8,1,1
07-03-2020,01-01-2020,SO45629,347,11892,9,1,1
07-03-2020,23-01-2020,SO45627,324,18039,7,1,1
07-03-2020,13-02-2020,SO45622,344,28470,7,1,1
07-03-2020,18-01-2020,SO45626,310,11259,1,1,1
08-03-2020,27-11-2019,SO45632,314,14775,8,1,1
08-03-2020,15-02-2020,SO45631,350,11237,8,1,1
08-03-2020,23-01-2020,SO45633,351,26011,4,1,1
08-03-2020,19-11-2019,SO45634,314,19766,9,1,1
09-03-2020,19-01-2020,SO45637,314,11525,1,1,1
09-03-2020,27-11-2019,SO45638,324,14746,4,1,1
09-03-2020,27-11-2019,SO45639,311,19782,9,1,1
09-03-2020,27-11-2019,SO45640,311,19964,9,1,1
09-03-2020,04-02-2020,SO45635,313,23351,6,1,1
09-03-2020,07-01-2020,SO45636,311,11302,1,1,1
10-03-2020,30-12-2019,SO45642,313,11623,4,1,1
10-03-2020,23-02-2020,SO45641,311,23306,6,1,1
11-03-2020,13-01-2020,SO45645,351,11482,10,1,1
11-03-2020,15-12-2019,SO45644,350,28458,7,1,1
11-03-2020,14-02-2020,SO45643,310,14541,8,1,1
11-03-2020,25-12-2019,SO45647,347,25997,4,1,1
11-03-2020,07-01-2020,SO45646,312,11289,4,1,1
11-03-2020,29-01-2020,SO45648,312,19791,9,1,1
12-03-2020,15-01-2020,SO45649,310,11319,4,1,1
12-03-2020,31-12-2019,SO45653,347,11764,9,1,1
12-03-2020,17-11-2019,SO45650,312,28652,6,1,1
12-03-2020,13-11-2019,SO45652,334,25826,9,1,1
12-03-2020,06-02-2020,SO45651,311,19771,9,1,1
13-03-2020,14-01-2020,SO45660,312,19797,9,1,1
13-03-2020,22-12-2019,SO45659,349,26003,4,1,1
13-03-2020,18-02-2020,SO45662,350,11906,9,1,1
13-03-2020,11-02-2020,SO45655,312,11323,4,1,1
13-03-2020,01-02-2020,SO45661,342,25827,9,1,1
13-03-2020,07-02-2020,SO45654,348,28478,7,1,1
13-03-2020,24-02-2020,SO45658,312,11270,4,1,1
13-03-2020,05-12-2019,SO45656,313,11617,4,1,1
13-03-2020,22-12-2019,SO45663,347,11901,9,1,1
13-03-2020,20-11-2019,SO45657,311,11266,1,1,1
14-03-2020,09-01-2020,SO45665,346,26004,4,1,1
14-03-2020,26-12-2019,SO45667,314,19957,9,1,1
14-03-2020,14-01-2020,SO45666,326,14738,4,1,1
14-03-2020,17-02-2020,SO45664,312,14713,8,1,1
15-03-2020,17-02-2020,SO45670,310,11541,1,1,1
15-03-2020,07-12-2019,SO45673,312,19790,9,1,1
15-03-2020,28-11-2019,SO45677,348,11895,9,1,1
15-03-2020,08-02-2020,SO45669,314,11528,4,1,1
15-03-2020,20-02-2020,SO45668,312,11298,4,1,1
15-03-2020,15-01-2020,SO45674,314,19948,9,1,1
15-03-2020,06-12-2019,SO45676,349,11765,9,1,1
15-03-2020,25-02-2020,SO45671,312,11628,4,1,1
15-03-2020,18-02-2020,SO45672,340,19438,8,1,1
15-03-2020,28-02-2020,SO45675,340,25829,9,1,1
16-03-2020,09-01-2020,SO45679,314,11540,4,1,1
16-03-2020,27-11-2019,SO45681,314,19789,9,1,1
16-03-2020,21-12-2019,SO45680,310,23283,6,1,1
16-03-2020,18-12-2019,SO45678,313,11281,4,1,1
16-03-2020,26-02-2020,SO45682,312,19950,9,1,1
17-03-2020,13-12-2019,SO45685,322,18132,7,1,1
17-03-2020,31-01-2020,SO45691,344,11898,9,1,1
17-03-2020,17-01-2020,SO45684,345,11485,10,1,1
17-03-2020,27-12-2019,SO45687,344,26005,1,1,1
17-03-2020,06-01-2020,SO45688,320,14741,4,1,1
17-03-2020,25-02-2020,SO45690,310,19958,9,1,1
17-03-2020,30-11-2019,SO45683,311,14709,8,1,1
17-03-2020,28-02-2020,SO45686,346,25998,1,1,1
17-03-2020,22-02-2020,SO45689,312,19773,9,1,1
18-03-2020,08-12-2019,SO45698,326,14747,4,1,1
18-03-2020,17-12-2019,SO45699,336,14750,4,1,1
18-03-2020,11-12-2019,SO45694,312,15097,10,1,1
